feature_id,haos_loss_score,max_abs_change,mean_abs_change,trajectory_total_variation
UTP11,2.6981770895059967,3.965,1.8244,7.399
HSL1,0.7702122217368084,1.1920000000000002,0.593,3.2350000000000003
APE1,1.916200503096129,3.211,1.569,5.036
DPH2,2.051756039512267,3.109,1.339,6.010999999999999
MIA40,1.3936947112452107,1.9849999999999999,1.1248880569075252,3.609440284537626
PTK1,1.4814234910932682,1.991,1.0890000000000002,3.2830000000000004
MHT1,0.9495209703368984,1.471,0.5900000000000001,3.3049999999999997
EMP70,1.5290475571977042,2.38,0.9753999999999999,4.551
CSF1,0.625641305935876,2.604,0.8182,4.118
ALT1,0.6819637720829723,1.291,0.6434,2.8859999999999997
YLR177W,1.7241887795649107,2.3810000000000002,1.0724,4.638
VTA1,1.1337582973716462,1.64,0.713,3.191
TOS4,1.346076893955332,1.677,0.9321999999999999,3.6
RPL37A,1.4667598287848864,2.157,1.0448,3.694
GLO1,0.8979428270329315,1.387,0.6965999999999999,2.673
DAT1,1.8971335816355555,2.331,1.1394,4.6770000000000005
UTP15,2.545862881428951,3.659,1.5433999999999999,7.102
VTI1,0.6472617079326572,0.9710000000000001,0.49800000000000005,3.115
CLN1,1.0103332282584185,1.259,0.6464,2.764
PRC1,0.8732656086125854,1.558,0.8455999999999999,1.8039999999999998
ATM1,1.365379886600696,1.9449999999999998,0.8629999999999999,3.768
SCW10,2.1824001323605735,3.508,1.4214,7.274000000000001
SUN4,1.2756553113971534,1.835,0.8036000000000001,3.997
RNH201,1.1491419821736537,1.439,0.7132,2.8449999999999998
RPL42A,1.939105354852659,2.8739999999999997,1.3522,4.913
IBD2,1.5588138339429503,1.878,0.9811999999999997,3.7279999999999998
POL2,1.5660562279723838,1.677,1.1162,2.718
SMM1,1.575902879012205,2.159,1.0128,4.068
YNR025C,1.3452126759974297,1.7409999999999999,0.9301999999999999,3.1319999999999997
RPS15,1.435594853526021,2.425,1.113,4.258
CDC33,1.7545369341356636,2.473,1.3152,3.8689999999999998
RPL3,1.4877632482391165,2.216,1.1082,3.904
CYT1,0.8020851990086566,1.319,0.6881999999999999,1.803
PNS1,3.0887186641358815,3.928,2.2534,6.178
PYK2,1.6872569429984572,2.266,1.2906,3.371
GDS1,0.9634931137743046,1.617,0.5232,3.324
PXA1,1.120279092050382,1.8780000000000001,0.7368,5.220999999999999
CIN2,1.2399260347967966,1.79,0.7942,3.599
YPL245W,1.5416018750438085,2.314,0.9658000000000001,4.619
YPL247C,1.6678066824319522,2.3689999999999998,1.1028,4.409999999999999
YPL251W,1.7573834719746562,2.336,1.0686,5.036
TFB4,1.3653470088907977,1.704,0.9339999999999999,2.8869999999999996
YMC1,1.2889294022741655,1.846,0.8634000000000001,3.643
ARO7,1.3753379350608204,1.689,0.9823999999999999,2.968
PIN3,1.9026864785297892,2.621,1.1252,4.882999999999999
CUR1,1.126509243472206,1.3130000000000002,0.8008,3.5540000000000003
TEL1,1.364647605641932,1.831,1.156,2.061
