source_file,sheet_name,trace_id,distance_um,thickness_nm,time_ps,stft_intensity,normalized_intensity
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_224,4,224,5,0.00328,0.00328
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_224,4,224,10,0.02223,0.02223
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_224,4,224,15,0.09686,0.09686
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_224,4,224,20,0.25958,0.25958
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_224,4,224,25,0.55349,0.55349
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_224,4,224,30,0.8277,0.8277
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_224,4,224,35,0.95703,0.95703
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_224,4,224,40,1,1
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_224,4,224,45,0.94209,0.94209
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_224,4,224,50,0.8959,0.8959
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_224,4,224,55,0.85262,0.85262
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_224,4,224,60,0.79134,0.79134
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_224,4,224,65,0.69881,0.69881
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_224,4,224,70,0.6575,0.6575
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_224,4,224,75,0.58156,0.58156
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_224,4,224,80,0.50116,0.50116
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_224,4,224,85,0.45612,0.45612
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_224,4,224,90,0.41139,0.41139
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_224,4,224,95,0.37644,0.37644
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_224,4,224,100,0.34202,0.34202
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_224,4,224,105,0.28746,0.28746
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_224,4,224,110,0.24316,0.24316
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_224,4,224,115,0.2305,0.2305
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_224,4,224,120,0.20312,0.20312
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_224,4,224,125,0.17707,0.17707
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_224,4,224,130,0.16351,0.16351
