partition,condition,admissible,seed,perturbation_family,magnitude,eta,inequality_margin,post_state_error,final_state_error,state_recovery_gain,post_trajectory_error,final_trajectory_error,trajectory_recovery_gain,operator_recovery,identity_sign_agreement,identity_margin_score,node_rank_identity,functional_recovery,final_functional_error,overshoot,corrective_cost,variance_ratio,mean_shift
calibration,target,True,6106,sparse_node_corruption,0.7,0.7,0.05,0.5239442857132256,0.0005989767182559478,0.998856793108373,0.7,0.27209992494457286,0.611285821507753,0.9049586776859504,1.0,0.959483511053533,0.9792124542124542,0.08428506426794326,0.13432718439640584,0.0,0.05087393520845646,1.1714387182775148,2.42861286636753e-17
calibration,target,True,6106,relational_twist,0.2,0.7,0.05,0.07990441374333485,0.00045386723545585625,0.9943198727805732,0.19999999999999998,0.1498555035260228,0.25072248236988587,0.9297520661157025,1.0,0.9704988624860257,0.9855311355311354,0.0,0.016608766670775158,0.0,0.0011257883677350472,1.0345477857869512,5.551115123125783e-17
calibration,target,True,6106,relational_twist,0.45,0.7,0.05,0.25694320853216823,0.0006837748256552708,0.9973388094997276,0.44999999999999996,0.26100925266670366,0.4199794385184363,0.8884297520661157,1.0,0.9515086602916508,0.9769230769230768,0.0,0.05822916779751503,0.0,0.011391202767087808,1.1407784389346458,1.3877787807814457e-17
calibration,target,True,6106,relational_twist,0.7,0.7,0.05,0.4752296511116436,0.0010996729185790205,0.9976860178736602,0.6999999999999998,0.3292544033835553,0.5296365665949209,0.8760330578512396,1.0,0.9455439139994889,0.9766025641025641,0.0,0.11136332835744565,0.0,0.04018658646024378,1.283958001007447,2.7755575615628914e-17
calibration,passive_relaxation,True,6101,localized_block_shock,0.2,0.7,0.05,0.08983615372180931,0.08983615372180931,0.0,0.19999999999999996,0.19999999999999996,0.0,0.9658119658119658,0.9700854700854701,0.9677285530190026,0.9858974358974358,0.0,0.05306007170476387,0.0,0.0,1.0068360617464276,0.0
calibration,operator_only_filtering,True,6101,localized_block_shock,0.2,0.7,0.05,0.08983615372180931,0.032009310202299225,0.6436923345870227,0.19999999999999996,0.962379739931583,-3.811898699657916,0.0,0.8931623931623932,0.306182217032667,0.951785714285714,-17.063694274183497,0.9584609134411091,0.0,0.11247473962088432,0.0016227657985180568,8.673617379884035e-18
calibration,signal_blind,True,6101,localized_block_shock,0.2,0.7,0.05,0.08983615372180931,0.46886122014866516,-4.219070504738682,0.19999999999999996,0.6922024692428497,-2.461012346214249,0.7692307692307692,0.7863247863247863,0.7736409149752863,0.7752747252747252,-1.5783099969789103,0.1368053133168105,4.219070504738682,0.4045700380491446,1.322975024018182,0.0
calibration,passive_relaxation,True,6101,localized_block_shock,0.45,0.7,0.05,0.30618308729472565,0.30618308729472565,0.0,0.45,0.45,0.0,0.9529914529914529,0.9529914529914529,0.9529914529914529,0.9185897435897434,0.0,0.11938516133571894,0.0,0.0,1.1278811389294618,0.0
calibration,operator_only_filtering,True,6101,localized_block_shock,0.45,0.7,0.05,0.30618308729472565,0.032036804279190464,0.8953671655666843,0.45,0.9634151587548596,-1.1409225750107992,0.0,0.8888888888888888,0.2961356272288913,0.9459706959706957,-7.038957618154846,0.9597322522144233,0.0,0.20703913086928413,0.001521662559961394,2.42861286636753e-17
calibration,signal_blind,True,6101,localized_block_shock,0.45,0.7,0.05,0.30618308729472565,4.195735614014129,-12.703355241092723,0.45,4.119537545333328,-8.154527878518506,0.5128205128205128,0.5170940170940171,0.5134611739976934,0.19542124542124542,-6.232347539401454,0.8634349778274325,12.703355241092723,14.52585721868814,17.374217905006063,1.3877787807814457e-16
calibration,passive_relaxation,True,6101,localized_block_shock,0.7,0.7,0.05,0.546818999079189,0.546818999079189,0.0,0.6999999999999998,0.6999999999999998,0.0,0.9529914529914529,0.9529914529914529,0.9529914529914529,0.8576465201465201,0.0,0.185710250966674,0.0,0.0,1.3739262161124963,0.0
calibration,operator_only_filtering,True,6101,localized_block_shock,0.7,0.7,0.05,0.546818999079189,0.03175429298154079,0.9419290605574914,0.6999999999999998,0.9640200007767697,-0.37717142968109996,0.0,0.9145299145299145,0.2901322249600494,0.9426739926739925,-4.172094327080174,0.96051093550537,0.0,0.37626796925841943,0.0014778301342087204,2.7755575615628914e-17
calibration,signal_blind,True,6101,localized_block_shock,0.7,0.7,0.05,0.546818999079189,3.8965150506818236,-6.125785785137909,0.6999999999999998,4.368438190028361,-5.240625985754804,0.5470085470085471,0.5470085470085471,0.5468479467420398,0.21469780219780218,-6.986138470173387,1.4831077795505097,6.125785785137908,23.236462520257213,19.908658019131448,1.3877787807814457e-16
calibration,passive_relaxation,True,6101,sparse_node_corruption,0.2,0.7,0.05,0.08403419459779268,0.08403419459779268,0.0,0.19999999999999998,0.19999999999999998,0.0,0.9188034188034188,0.9230769230769231,0.9202232539183156,0.9805860805860805,0.0,0.07017238145099461,0.0,0.0,1.079141418910155,0.0
calibration,operator_only_filtering,True,6101,sparse_node_corruption,0.2,0.7,0.05,0.08403419459779268,0.03264463964145677,0.6115314748037789,0.19999999999999998,0.96215281376103,-3.8107640688051507,0.0,0.8760683760683761,0.31158334172534136,0.9355311355311355,-12.653948228171844,0.9581300633794065,0.0,0.11624065943009287,0.0016806128542361746,2.6020852139652106e-17
calibration,signal_blind,True,6101,sparse_node_corruption,0.2,0.7,0.05,0.08403419459779268,0.14771001955863647,-0.7577370767413335,0.19999999999999998,0.3291101544639068,-0.6455507723195341,0.782051282051282,0.8247863247863247,0.797933477372844,0.9227106227106225,-0.9748689461069744,0.13858125700194232,0.7577370767413334,0.05795527271683978,1.0835765511418265,4.163336342344337e-17
calibration,passive_relaxation,True,6101,sparse_node_corruption,0.45,0.7,0.05,0.2774052572056608,0.2774052572056608,0.0,0.45,0.45,0.0,0.8632478632478633,0.8717948717948718,0.8667715038249812,0.9154761904761902,0.0,0.1578878582647375,0.0,0.0,1.2905681925478485,0.0
