left_observation_id,right_observation_id,left_kind,right_kind,left_control_group,right_control_group,left_signature_id,right_signature_id,scalar_distance,scalar_enabled,disabled_components,warnings
obs_cd8cd88cb9618af0705bbf06,obs_11180e544727ce850ebf3a6a,derived_control,derived_control,randomized_edge_control,label_permutation_control,bsig_3b1c1a5f56bb03b20611587b,bsig_8e7a52f1a727043c61e5d5c2,0.3957788085891942,True,,
obs_cd8cd88cb9618af0705bbf06,obs_979ad629051487c82499339e,derived_control,derived_control,randomized_edge_control,generic_graph_operator_control,bsig_3b1c1a5f56bb03b20611587b,bsig_793bb0a29a9abfe233b6d670,0.3504629629629629,True,,
obs_cd8cd88cb9618af0705bbf06,obs_2c0e6630085a94e0f0b4dd07,derived_control,derived_control,randomized_edge_control,generic_graph_operator_control,bsig_3b1c1a5f56bb03b20611587b,bsig_793bb0a29a9abfe233b6d670,0.5106440951815485,True,,
obs_cd8cd88cb9618af0705bbf06,obs_0033e7ce631563262f7b0bbe,derived_control,derived_control,randomized_edge_control,generic_graph_operator_control,bsig_3b1c1a5f56bb03b20611587b,bsig_793bb0a29a9abfe233b6d670,0.41880996636632406,True,,
obs_cd8cd88cb9618af0705bbf06,obs_118430be7d682f480e3902ea,derived_control,derived_control,randomized_edge_control,generic_graph_operator_control,bsig_3b1c1a5f56bb03b20611587b,bsig_793bb0a29a9abfe233b6d670,0.5231984070399684,True,,
obs_cd8cd88cb9618af0705bbf06,obs_8f4c211fcf3841317e300fd0,derived_control,derived_control,randomized_edge_control,generic_graph_operator_control,bsig_3b1c1a5f56bb03b20611587b,bsig_793bb0a29a9abfe233b6d670,0.4787657346643209,True,,
obs_cd8cd88cb9618af0705bbf06,obs_ae30906415b62baef858fb35,derived_control,derived_control,randomized_edge_control,generic_graph_operator_control,bsig_3b1c1a5f56bb03b20611587b,bsig_793bb0a29a9abfe233b6d670,0.5293614296718152,True,,
obs_cd8cd88cb9618af0705bbf06,obs_2b1c4b4fddba864cb9f9f25f,derived_control,derived_control,randomized_edge_control,seed_repeat_control,bsig_3b1c1a5f56bb03b20611587b,bsig_53d374d66c9dffe0861a6d49,0.17182539682539683,True,,
obs_cd8cd88cb9618af0705bbf06,obs_65dfe5e65cb70d7cb499d482,derived_control,derived_control,randomized_edge_control,seed_repeat_control,bsig_3b1c1a5f56bb03b20611587b,bsig_53d374d66c9dffe0861a6d49,0.33316093019838355,True,,
obs_cd8cd88cb9618af0705bbf06,obs_f622bfcc3394ff0a255f9f83,derived_control,derived_control,randomized_edge_control,seed_repeat_control,bsig_3b1c1a5f56bb03b20611587b,bsig_53d374d66c9dffe0861a6d49,0.2885850986414564,True,,
obs_cd8cd88cb9618af0705bbf06,obs_57728f48826a986fe1ea83d9,derived_control,derived_control,randomized_edge_control,seed_repeat_control,bsig_3b1c1a5f56bb03b20611587b,bsig_53d374d66c9dffe0861a6d49,0.38106877741033884,True,,
obs_cd8cd88cb9618af0705bbf06,obs_c740a30388dc20122927f42a,derived_control,derived_control,randomized_edge_control,seed_repeat_control,bsig_3b1c1a5f56bb03b20611587b,bsig_53d374d66c9dffe0861a6d49,0.3001281685267547,True,,
